distance,motor,valve,flow 1,flow 2,volume 1,volume 2,avg,tds
5.13,1,1,111.11,71.11,0.876,0.549,0.712,5998.9
5.1,1,1,92.2,45.6,0.654,0.322,0.488,4558.8
